,Unnamed: 0,Volume,ocPercentAMD,ocPercentINT,ocPercentSP,hlPercentAMD,hlPercentINT,hlPercentSP,Days to Earnings,tyPercentAMD,tyPercentINT,tyPercentSP,Volume.1,What Day,Labels,Days Since Election,ocPercentBTC,hlPercentBTC
4933,4933,102009700,-5.064402810304436,-0.34965036493226354,-0.8383051123623586,8.011221445684447,1.3864458931876378,1.198695026438101,13,-0.21584643848286955,-0.2412193088254022,-0.06868491461670123,28959500,1,0,1008,,
4932,4932,106737000,2.212251054940184,-2.0451619523894853,-0.4047113969762539,7.4667377589638475,2.66492142125212,1.2275261349576905,12,-0.08774203239960697,-0.4784732492387978,-0.3967531012220804,18490300,0,0,1007,-4.406318560772271,6.044546566356601
4931,4931,132483900,7.580072705991969,2.18803726169845,1.4460321442144153,8.862770012706477,3.1801328686560826,1.5287773044234454,9,-1.3856044449059188,-0.4875959502902649,-0.25799338253647,24975500,4,1,1004,-0.963920348367242,2.1415955907804207
4930,4930,167278800,2.5289849852119906,0.9287278818299604,0.8860853503704025,3.207613563355172,1.9795518386001243,2.3519739080539055,8,8.016443713037201,-1.2197731649903676,0.4240660852298905,30643700,3,1,1003,1.7906068265780561,5.22424884040158
4929,4929,58577500,0.0,-0.4029755926627576,0.7196362511045384,3.014177198078816,1.6891190934359646,1.2987188757893398,7,-1.351358234533684,-1.405451477969577,-0.8022887961059322,29440400,2,1,1002,-6.418262272031761,8.007729400085095
4928,4928,60578400,-0.9554140127388644,-1.6540976404563312,-1.840192843812216,3.0379746835442982,2.984751986257228,2.691237362381882,6,3.108256520185781,0.3832254549025915,0.5779066648547992,26119600,1,0,1001,-0.8219852337982059,2.8632730332351697
4927,4927,74333200,-0.1356818181818098,-0.8352006518639321,-0.4025222797809702,2.7297822138983245,1.773197938144344,1.0771690789787902,5,-4.008155434505589,-1.8898972884141438,-1.1589154493317433,38936600,0,0,1000,1.4622292129595094,4.345527415366246
4926,4926,60410900,-2.098357377049176,-2.019002375296919,-0.8978904409403854,8.178694158075594,4.891849506936531,2.321044823806928,2,-1.2726087986400292,-0.8282828282828225,-0.3270682433073824,27881600,4,0,997,4.641581743750534,6.207918361621556
4925,4925,80878900,-5.0810501819794185,-1.8637139143356185,-1.1882451659557811,6.6006602838501784,3.3366673993340257,2.0053488220679756,1,0.16420032301476262,-0.05934520394351716,-0.0020069589229509965,34020800,3,0,996,-2.849140265366912,9.387736940464531
4924,4924,119190000,1.9873532667074256,-0.019334751872646102,0.1835320535402252,3.0358228001160503,1.4546159531688032,0.5414970082535221,91,-5.2849042009124325,-0.36751063118936056,0.100891386130475,24169800,2,0,995,8.065991147528994,9.030800746241363
4923,4923,72198900,-1.9332132962276871,1.901802870207692,-0.11572275584018632,3.6385688295937024,3.5053210615463066,0.3752134099507476,90,-0.8064545997610528,-1.5235174832800458,-0.4405889210343239,16487700,1,1,994,1.0955889830900123,4.247407463477426
4922,4922,45922000,-0.6134969325153228,-2.0876808139624337,0.4184885754583867,2.6572218085982424,3.8230177338059113,0.5108525073259207,89,0.3527307466196117,-0.11630354719908145,-0.045941846312858026,21897500,0,0,993,2.8118138005114313,3.704126802798813
4921,4921,43502800,-1.1160088433482818,-0.6665359233112178,-0.4174072513065563,1.8738876226617407,1.3878122323089268,0.6362543227644624,86,1.6632077020022342,1.0161023773006097,0.3189457646405103,36401500,4,0,990,1.3448292471460954,3.2360485939693096
4920,4920,36705600,1.3971522412946855,1.8083839938437984,0.6932855424504947,2.7204782445298115,2.258691163295201,0.7598060438508858,85,-0.17590735338883778,-0.7747543754631381,-0.10928906647059698,27765400,3,0,989,2.9567839395352014,5.746870766182033
4919,4919,41952300,0.9647392803581178,-0.480769230769229,0.3582942437683867,1.7309444275736439,1.364524393070643,0.5802072790132451,84,0.44788590935285205,0.4444444444444473,-0.22292523514286788,20896400,2,1,988,5.236787992025316,5.622019576675319
4918,4918,38532500,0.15243598025720395,2.679464214335714,0.10396277144986144,1.7409864544296385,3.2671898830866075,0.4723450678749019,83,0.9741248690487092,1.2658267289513914,0.32528855340370194,18413500,1,1,987,0.007306889352820534,2.3199409469577104
4917,4917,37777300,-1.7231075137178142,0.6204984111388923,-0.9203565240013978,2.7734883582900327,1.5027048687637825,1.0134855778017204,82,0.8920363514018259,-0.5172110602745361,0.17872092107358295,21688000,0,1,986,-1.5171917561803028,3.5032886082609904
4916,4916,44617700,-0.0908234965432353,1.3392857414627812,0.5451728125815292,3.207899642683487,2.249955047043484,0.8472646389583671,79,0.24243030303030544,0.04004805847110937,0.3054947121514884,29141100,4,0,983,2.493915352277387,4.227164906234382
4915,4915,58610900,-1.2055278568378514,-0.22222424242425154,-0.6881692897272584,2.418623325253888,0.9341977687165716,0.7040298232386721,78,-1.6964256962158195,-0.2227171537298456,-0.1859592532233334,15679600,3,0,982,-3.441365559895826,8.980626471120745
4914,4914,42557900,-1.3119563064710291,-1.482672811059904,-0.2685755367209608,3.136100684500032,2.1241850924057504,0.4621601203844028,77,0.4726735877502719,0.6711450344171199,0.035287778665993315,11928600,2,0,981,-1.1482926436874097,7.320910717591156
4913,4913,66912700,3.1493671265746537,0.23999800000000795,-0.11597852552092115,3.847306883077839,0.9644364074743672,0.300123603332092,76,-0.2617039913260677,-0.4189924265561196,-0.07199568605389395,17131400,1,0,980,1.4340061399124693,4.366548697911332
4912,4912,65565200,1.3736295099895823,1.8775469387755093,0.34660888568565085,2.454737649585748,2.2946096641137226,0.4014099388164771,75,0.3914513818564336,0.1602604230873661,0.13372052191293893,14345100,0,1,979,-0.8384578040294688,3.769824707846392
4911,4911,51509700,-2.5066322618696457,0.08236614327912227,0.009661056690379866,3.7851101211911153,0.9728793009132763,0.4526910056939615,72,-0.9074500632955341,0.8230494165863966,0.11500995367224046,20148700,4,1,976,-5.033228334357698,5.567944533419844
4910,4910,63081800,0.6853396696859582,0.6051774042227454,0.12611711565257974,2.0083872299643923,1.4822525477138804,0.6151490735931242,71,0.3551316852580033,0.7259946219870361,0.21884048322253769,16615100,3,0,975,-2.824052038711733,5.980483499239919
4909,4909,60388400,4.376580604534008,0.8234776008556155,0.4757972600029747,10.232558139534877,1.4215955565118676,0.6229234054856869,70,1.2367993220633977,0.3560167539266912,0.3245425230553822,16032300,2,1,974,-1.0399926110649327,4.225999521187451
4908,4908,61419800,0.7547232941736981,0.4199937089456984,-0.12820012867972294,2.8470953294945645,1.869558104950064,0.3592457361178969,69,-0.8739107093036713,-0.9619385194479246,-0.3504740056698652,17853200,1,1,973,2.410162790037762,6.629707512903837
4907,4907,49689400,2.0077753240860035,0.1041078514284477,0.2064140738879061,2.634143089430885,1.5598672335553898,0.8780431828701918,68,0.9523777777777688,-0.956744968521428,-0.3558004525501368,16564300,0,1,972,-0.7519996995756562,5.882468727548296
4906,4906,34011900,0.1927465529311556,0.7056870070568877,0.5956854596036898,1.91932335718934,1.1666687499999997,0.6004152921517347,65,-0.9939146843887748,-1.009894888705698,-0.3862070397213202,14339200,4,1,969,9.547366580617279,14.878594249201281
4905,4905,23462000,0.9043960240437964,0.4383197662283456,0.2816544982512603,1.724698991213791,1.111348314349936,0.5849292083765611,63,-0.35211587708067205,0.12469036003097678,0.17053652638054914,10739100,2,1,967,3.162831163595081,9.920066941184235
4904,4904,37721700,-1.855929479209517,-2.515727277019131,-0.238265140444216,3.790087340781101,3.5602115183246186,0.8708687446244534,62,-0.7692371548321475,-0.29136108826974816,0.011126763596536192,15381600,1,1,966,-13.087421615639993,17.537572131025158
4903,4903,60525500,-2.2844240669240508,0.20933431023655305,0.3007245009249093,2.5717144741180364,1.0906061241610754,0.5097192178432408,61,4.675666622467345,2.966371484570129,1.0078966978682935,27505400,0,0,965,6.333395425445354,11.929714528496582
4902,4902,50090900,1.0851693521867656,-1.4330279778597022,0.18015831153419534,2.482621730639578,2.497874576719949,0.367645139571815,58,1.1060507482107962,0.6531837474333058,0.2741961904555668,26646200,4,0,962,-10.244361729274997,13.030042748965842
4901,4901,55623300,-0.2001334222815121,1.1332570353302485,-0.4200186159041719,2.3505674160319905,1.9343965110513617,0.6728515397335766,57,1.6377005347593565,-0.08299854913879079,0.20179570665868066,23062900,3,1,961,-3.3826979970755233,8.84735317452996
4900,4900,65064200,-1.3670505809979527,-1.4928574118406757,-0.964095951510724,3.194444555362641,1.8803440572723096,1.04629304753312,56,3.8808002813305538,1.7075859853825426,0.29787635990223826,21886300,2,0,960,3.6883909130178028,6.945219535905234
4899,4899,53680900,-0.20463847203273652,0.4852299373320657,-0.20565775661929295,2.5462155563306554,1.4415942947464178,0.3692149528399469,55,0.0,-0.14696619468893554,0.014596940455136044,16665600,1,0,959,-6.351761947224155,9.815939795085683
4898,4898,55724800,-1.8549747048903773,1.0862576978432736,-0.07620118568090195,4.763552114723947,1.9871816663927568,0.5863775569990626,54,0.7560137457044647,-0.12641593186716316,0.03253597787087337,14479900,0,0,958,-3.4458015754058047,13.277389196974543
4897,4897,81861300,-3.9372599231754064,-1.4205139214646725,0.1552696585244151,5.093837131367286,2.5176019312481697,0.9060228210813648,51,-1.1996001332889141,-0.5085780993553279,-0.049759020568684864,31096300,4,0,955,2.3745775717107787,5.46353788229077
4896,4896,72418200,-0.5542875774372402,-0.8635214827295679,0.202356128155512,2.4284831147200148,1.234046808510647,0.69759734818855,50,2.426229508196709,1.6995942213724249,0.7907211206844122,20126800,3,0,954,7.330191488988946,9.089059514542486
4895,4895,63233900,2.3185517473118145,1.3262010695187063,0.3798121982628633,4.699117647058816,3.0042962662788053,0.8725046297558325,49,0.7224925871102572,0.232216597682422,0.0959660354725278,17436400,2,0,953,1.3134656857089588,3.7495161188682236
4894,4894,86444500,-3.4710710743801614,-0.02166883445314793,-0.002771104766852161,4.352299520219338,1.5938864976831058,0.3453042922730853,48,1.9178047288423092,1.3440255507473298,0.5896880771837809,25732300,1,1,952,2.718372258382118,6.220880934363016
4893,4893,70865700,-1.1074918206028683,0.7855050933665675,0.0055393823041649535,3.1312425049966786,1.909986869593561,0.5149927211735683,47,-0.3623221224531625,-0.10824854098828718,0.09594870831075576,12643300,0,0,951,-1.6980743209942917,5.286624793021466
4892,4892,70373000,-3.0873727411970475,0.2145987216565892,0.1870912681796844,4.636191392021627,0.9241349865492188,0.4597517703383902,44,-2.19814597636655,-1.862952850900368,-0.16668137037629815,15381100,4,0,948,-6.186918558234511,7.764879905475719
4891,4891,63556000,0.5624999999999991,-0.7499421791275829,-0.10024844574586522,2.036340852130314,0.9081037837837868,0.4831889576776716,43,0.6525761342448533,0.6044861830742709,0.22223115882953334,12267600,3,0,947,9.827517788093276,10.113603853856157
4890,4890,56298700,-3.0511516601854693,-0.8675412978223052,-0.6044924818946029,5.248277812696434,1.7196904557179593,1.1144604251755783,42,-1.2650416538105391,-0.3842049256864377,-0.10361334537126733,15900600,2,1,946,2.0762093165654028,12.283496941974615
4889,4889,82834900,-0.8947181895233579,1.2329634436513135,0.03118347150306011,3.6880197286566,2.1428527674707265,0.6674733386213383,41,0.6018657839302,0.9829038671560486,0.572968033539456,18415500,1,0,945,-1.8925462509471913,12.078752390057357
4888,4888,97668800,1.4715059025827593,1.7237546961325956,0.7175220097830781,3.2625847323408235,2.2616431158156702,1.1251775469454328,40,3.455720456649192,0.4345014215620502,0.4346854050504501,20806100,0,0,944,-9.1332101461448,13.133743288684109
4887,4887,86841100,6.5282856870342965,0.7821184357541977,0.529606752213696,7.1715817694369965,1.4828129176730265,1.050510992745668,37,0.3771244500314408,0.33259868437245377,0.3298807814688498,24370300,4,1,941,-4.041747259832363,8.111706756709713
4886,4886,131267800,-1.436685599732712,-1.2414142930300631,0.2860027092221218,3.306920313230433,2.2403281792334973,0.9411231928821984,36,1.254240677966112,0.4489360370131479,0.08350965383434605,19076200,3,1,940,9.927890577938413,13.593728635887148
4885,4885,79481500,4.156396764931203,1.4266326992753875,1.4706993518391218,6.019347903977067,2.490292437742747,1.5148589255530531,35,1.2174501183632058,0.7144451727071788,0.5286707271959568,20802000,2,0,939,-13.585558549730525,27.907752418163632
4884,4884,107549500,-4.069565217391313,-1.7853129943502857,-0.2573142188302069,8.537925667353408,3.217590203296528,1.2554926234974009,34,2.9369071791152996,1.6106788221509127,0.6627900790601826,28094900,1,1,938,10.601442649598681,18.578737241749167
4883,4883,147532200,-0.5803409503083112,-0.316883205070162,-0.5093665744511089,3.5036532846715485,2.367404962440256,0.6711443605489587,33,4.8887267420649305,0.4768369555668173,-0.019259390734094328,31155700,0,0,937,6.9098184056632705,7.252326961943845
4882,4882,68667800,-1.3028133802816757,0.9706569067868376,0.06889872191901958,3.478257246376804,1.808724847388654,0.8016598630107952,30,-1.6411023317480455,-1.2295998211491077,-0.8143185433718059,25532500,4,0,934,1.3682288273242138,4.629751661551773
4881,4881,65289100,-3.137931034482755,2.029993173240729,-0.2591158498342461,5.733862243058053,2.7694367519299767,0.938879469211118,29,1.103595585617656,0.15826136106715796,0.1408513403363898,21618900,3,0,933,1.6378305274448612,7.610487033283442
4880,4880,99969600,6.527315731573169,-2.4406627854903657,-0.9766728874522456,9.645236867894956,3.2101617369552304,1.389570560759812,28,-0.17211360317086474,-0.5049391783337187,-0.43319785838237257,28450300,2,0,932,5.340878945972238,11.256766321413991
4879,4879,146949600,-0.6388575483330383,-0.04485310607760251,-0.22418552389249505,2.0075757575757525,1.2587030227600329,0.7506645453991379,27,3.1391791550991144,0.20192954902400476,0.1404771985420883,34779900,1,1,931,6.951259232797824,7.0071658225986155
4878,4878,39835800,-2.3341941459799838,2.6746599648296066,-0.5097458754812156,4.110637567781872,4.386376472553044,1.1124602515512727,23,0.9484066408040004,0.13474287300119234,0.3603492982891199,27168100,4,0,927,2.8309022150189156,4.304340255104266
4877,4877,67809200,1.069317807178538,-0.33975536399749595,0.007351421036760897,1.9209456963428242,1.3911083872797378,0.5036586964755951,22,-1.5322874863188731,-1.4318204545454516,-0.6851617271114939,35783900,3,0,926,1.9238604953362604,2.776426360017692
4876,4876,40035300,0.6254598969830827,0.27063373928730705,0.3622990353095101,1.63386929075382,1.3580783159800711,0.5206642874214795,21,-0.8409469835466199,-0.6972492284581411,-0.2897697108585007,16932500,2,1,925,-2.557168764553752,4.16615528802704
4875,4875,46079200,-1.1119347664937052,-0.9999977272727278,-0.06016879439747491,2.8312570781426905,2.4625983322762224,0.7971655213385276,20,1.8740629685157328,1.7906312720240791,0.4855254714267954,25543400,1,1,924,3.9928579399620467,5.33828880108933
4874,4874,69757400,-0.6861718784336723,-0.6418791500664045,0.03253099307771734,3.8686094890511,2.1671180592993,1.0948662237792115,19,-1.8909090909090875,-1.9826220089690705,-0.6151391250173832,28675000,0,0,923,1.7055899775311412,6.394864954224655
4873,4873,65385400,2.3383228959326763,0.1319507338475523,0.7185383657089428,4.033740374037409,1.166893490396026,1.2728430694133763,16,-1.1424455551588664,-0.7687217388254175,-0.6160639143446001,22500400,4,0,920,1.8103468194736516,3.197278118919189
4872,4872,67330100,2.642348245539683,1.5583282082960004,1.0842538689317616,3.965585484474365,2.2118008137534058,1.5487962257534127,15,-0.7614176939811368,-0.3287987796755432,0.1697704656049348,19954700,3,1,919,5.323291071472025,6.526271893244373
4871,4871,55689900,2.9777571436955474,-0.022138114209824256,0.5067087360520306,5.086042065009577,1.3817762732733831,1.1495936575385055,14,-1.6471412884333736,-0.5534647134586956,-0.4949894135143129,23407900,2,1,918,1.0648762972800263,3.456393393617807
4870,4870,82980400,-2.742772424017803,-1.2574541690953511,-0.9971102140453492,4.3295019157088,2.1029037560871493,1.3835794555221437,13,1.1051867378048863,0.9383423118115576,0.2933990425134647,24706500,1,1,917,3.107251521298182,5.025750083271419
4869,4869,99017900,3.4406140051566947,-0.516791570129016,0.6391604684999885,4.3445971036019335,3.7694037148294335,2.33313519536964,12,-3.5050037018956925,-1.883114677854658,-1.4302062331367438,39091900,0,0,916,-1.249405343148302,3.835634195346427
4868,4868,82930100,1.9101047973743457,-2.672239971931522,0.3804367609801851,5.186315590229884,4.8642824074762725,1.39508074908965,9,-0.6615141735212715,-0.3861003943822494,-0.2654342143077693,42522800,4,1,913,4.62082514734774,6.502206390557719
4867,4867,73150900,2.5747822794396136,-1.9123485674830907,-0.006604539952737021,5.481534069280559,3.505198695740797,0.858946282677131,8,-1.4396419342930902,-2.721364633575773,-0.6799923085341497,59642200,3,1,912,-3.3740002024906346,5.595391717330278
4866,4866,65967500,-1.9852977211287648,-0.2371502070019904,-0.9948397274142872,4.349488910701616,1.902665732024844,1.7616827105970456,7,-0.937734433608406,-0.5546731378763825,-0.15394816055773752,36812400,2,1,911,-1.050680625649636,3.5248696995045403
4865,4865,75868800,2.6197643196019804,1.9303502487562296,0.8106211945919206,3.969750322504706,2.171747403302393,1.3494573383670658,6,-0.8023304157549259,-1.2104704956956258,-0.6629204115386256,29713400,1,0,910,2.5610727221351715,4.516478695124793
4864,4864,70344100,-0.2826855223563851,1.3116640050248929,0.5608997722509113,2.7476500361532934,2.14863000197123,0.6363537352452653,5,-5.315379352068729,-2.898550724637683,-1.247606677494162,26245200,0,1,909,0.06812689598436616,5.093310518154115
4863,4863,55503100,5.01113567145004,-0.4921259939394851,-0.15878295985604085,7.628703208241139,2.4142119396291406,1.0749847267712551,2,0.0353411086835953,1.048472819949997,0.4006807466568896,25656600,4,0,906,1.2165608410533935,3.881218381112994
4862,4862,100514800,-7.3920619208268885,-0.6653620612666278,-0.9687296895804608,8.849883911505449,1.6949073041029772,1.0525482620605375,1,0.4849011743715659,0.07880417962191633,-0.05370085509742717,22655400,3,1,905,-5.328833101341446,8.32799572991727
4861,4861,136066900,0.1449764407393861,0.07843333333334979,0.2958723559851828,3.1922715964264325,1.100847279356154,0.8245197040386287,182,4.777423263750392,0.11754897888813788,0.2206508803254792,20467600,2,0,904,-6.917489631785168,7.802337492440792
4860,4860,73165900,-0.7526845878136013,-2.03181338055638,0.08331522811875214,2.3272690909090787,2.8039215686274543,0.345992197626277,181,-0.3611448045812704,-0.215224022398286,-0.20013849474724846,27130900,1,1,903,2.1390624634323396,3.197497305150687
4859,4859,44532700,0.7953687635574802,-0.5877929242399382,0.4808864456774975,3.142332833357964,3.047360248447206,0.7650167793854967,180,0.07173960085149478,-0.4959031089071142,0.02381712953816173,42142300,0,0,902,-0.13088852271264662,1.9138869174355255
4858,4858,48827900,-3.5228461806766758,-1.1835300374533395,-0.09628124403389116,5.482455939968722,2.009437358029009,0.6955414436743412,177,0.0,-8.453391625526963,-0.012298089639106724,72364500,4,1,899,3.468578475227879,5.455439459127209
4857,4857,57329700,1.2811352313167212,0.3417652084757305,-0.23006134969325576,3.2939491586108094,1.9779876501202052,0.3684157420234202,176,0.7378812627505837,-0.7152622493994953,0.059441113673242015,27949900,3,0,898,-4.3467702768334116,12.305858691198935
4856,4856,51784700,-0.7452129169623899,-0.18678893168261326,0.8140901543101098,2.5188879986006496,0.8205128205128087,0.9551226813206082,175,0.4647872886945903,-0.44232562848460777,0.010910119966012209,17723700,2,1,897,-0.7779154619303452,3.6975566962645257
4855,4855,41777500,2.0275125985694142,1.1521891263219564,0.31702791891974336,3.066816468302913,1.6413285825616963,0.4543619229280038,174,0.0,0.11900544032641402,0.0694649195192909,17739900,1,0,896,-0.49204283398406323,2.629306320605007
4854,4854,36477300,0.28985507246375164,-0.37471811232698826,0.007572612168504911,1.975124359912206,1.3076428304825027,0.5705591672999777,173,-0.21675939306357028,-0.5812959281485508,-0.21514407553823167,12327500,0,1,895,1.5204719025600166,3.4331323411522785
4853,4853,39880900,-2.5522829688863213,0.20534223486212697,-0.5346321652478503,3.857461567136733,2.529251592038051,0.7788098354872819,169,0.4001455074572613,0.2561441213090099,0.15032522793563266,20464200,3,1,891,7.479824648799438,10.8320091527363
4852,4852,48240800,0.7575793924090801,0.08824391104835794,-0.17855380296212253,2.510003637686431,2.496880684858227,0.5291841723709556,168,1.0025026852846342,3.0506084121073584,0.3089024587640932,38788400,2,0,890,0.7025114785357722,2.159336288214564
4851,4851,47340100,-1.6906439457066271,-0.31880978247980085,-0.0942121202596624,3.2640987857603503,1.1444975373568589,0.4529676742319522,167,1.4269996341017108,0.6751972401420892,0.2299001170395609,30301900,1,1,889,1.4937347188264116,4.4846567379170255
4850,4850,40812500,-1.276139712021962,0.3735972313395841,0.22578837856381814,2.603033261026755,1.1640436962750744,0.4198884720974183,166,-0.1795368043087997,0.07089862002476187,0.03130470169492305,11676900,0,0,888,2.8138584821662427,6.041299353528884
4849,4849,41048800,-0.07190938769899846,0.07173780745115542,-0.12447972617134485,2.148579830611075,0.7909383284030458,0.3965986016488454,163,1.5113277613771905,0.7347670382574778,0.4341637597208292,12910200,4,0,885,-3.6954355695132834,6.0045852714719405
4848,4848,44801200,1.3474181117049566,0.777295733911787,0.23738165255635654,2.9282613469985517,0.9761406362979176,0.36747484239842976,162,-0.07186848724398676,0.01793363228699274,0.128451914857175,10845800,3,0,884,-0.43565599497802365,3.1178006450621965
4847,4847,64368100,-3.5410764872521265,-0.054196930594285764,-0.2903133387453516,4.3766015308347885,0.9653879429731173,0.4715714739404797,161,0.8076321585903212,0.0,0.1101440502387252,13084000,2,1,883,-2.3429454170957764,7.264597580220933
4846,4846,75539800,-0.5576855853020035,0.7235908235092572,0.2530780796237586,2.7324378992193092,0.9782626634372792,0.5265907791392799,160,-1.0164773565903618,-0.5926760057471281,-0.31735745368342005,13339700,1,0,882,12.32872939588814,13.803896694841633
4845,4845,58002500,-2.226717349079532,-0.2690618834080727,0.29748967677905025,3.0902848295237817,1.9682923631910487,0.3555336659354813,159,-1.000686680469287,-0.5755377904869796,-0.14795761163449714,11758800,0,0,881,-1.3220288319134688,3.743010543299863
4844,4844,65662700,0.7271503021866409,1.1760412520354535,0.1878887198211832,2.726312382862206,1.5740890175501845,0.4931791446424638,156,1.890680646270204,-0.304002156795502,0.16566075374495615,19268400,4,0,878,-6.509229029840313,13.22264452890578
4843,4843,82191100,3.5688793718772205,0.8177376125338531,-0.09353622166510256,7.424684627858148,2.0040135180181107,0.7008337566933198,155,-0.4824293590627193,-0.3785147801009248,0.020536229558199004,16520500,3,1,877,-3.5885753478346105,7.420599968913533
4842,4842,197650500,0.9053187476423918,-0.3117513352604129,-0.0348645860697272,2.721345343043313,1.0510768947077365,0.4949681504153869,154,4.74766355140186,1.2325202127939416,0.30866261739046497,24552800,2,1,876,2.1238805223395163,4.6942022529115945
4841,4841,53358800,-0.2270968962906905,0.31284136915714633,0.6515433300325446,2.8261672473867567,0.8687652816549152,0.7291231171852708,153,0.5690401908558407,0.03669235137377935,0.0366229312186217,13704500,1,1,875,2.4108423857347905,8.468855876987224
4840,4840,63000300,-0.23455824863173325,-0.18586989193066786,0.21673609509180736,1.900990099009903,1.0471222887060705,0.5959091354441393,152,3.526645768025083,1.1918044470800029,0.5020456354785541,17830400,0,0,874,11.758557991037556,16.903860382121238
4839,4839,53502800,-0.1593665338645578,-0.2629089201877877,0.2149939207906959,3.691679513184587,1.2696588971006229,0.7481836967797806,149,2.075024025340144,1.299186569399602,0.4557042334009998,18736100,4,0,871,-2.853963838664808,10.52979743039424
4838,4838,64667500,-3.151758632227297,-0.8023885053181745,-0.5089106062865723,5.417515495621816,1.7378202066078652,1.3573848303861658,148,0.8437163858463936,0.16930022573364845,0.14364539550699718,13607900,3,0,870,12.5841605862274,15.45917169028419
4837,4837,88585300,-3.7467214782045177,0.2250543885971457,0.2062122397114008,5.970153415952617,1.3763178473544802,0.9229750139015502,147,0.03892565048946306,0.28069049926442435,0.044705619999407815,19656000,2,0,869,3.0947806854688897,5.014778005131704
4836,4836,75754100,-1.2172004101483336,-0.3586973691014461,0.0840518092422693,5.677364695482968,2.2336731150501388,0.8894018291473627,146,2.772437534556716,1.023116730259899,0.5110066057699258,17724300,1,0,868,3.3553125782489035,3.606010016694494
4835,4835,78438200,-4.248365858810244,-2.0955955111913505,-1.540156465483411,5.393087732624391,2.6498778923111916,1.6315097634731934,145,-0.3033750358978016,-0.544493073394392,-0.1678128426522929,16971400,0,0,867,2.408794064348485,3.65918849476643
4834,4834,115323300,8.184631179804835,1.3353134768291364,1.2469292114681174,9.334897290349954,2.135962109955414,1.5237624240536318,142,-1.2549229564332354,-0.4392331705569629,-0.3628826228973647,21438400,4,0,864,1.8101122617700804,4.7741710904186
4833,4833,129610300,-2.982253680634195,-0.4439530069560993,-0.2511216519037962,6.203082030939622,1.4736075084199165,1.106164695732592,141,0.31128403458040577,0.1858008175399384,-0.1596898635004229,19127200,3,1,863,-0.519471524302606,3.0352544179024887
4832,4832,151292100,10.169491525423725,-0.5507673847848893,-0.28830108742624594,10.55532005086901,1.203707407407406,1.032487214949418,140,1.8846153846153733,-0.2030588961808744,-0.043422756382816015,24325300,2,0,862,-0.9587020648967659,2.2774254581128917
4831,4831,156052200,-0.2145879920424032,-0.5880191322314987,0.3659674417795911,2.5173610018506487,1.1880434599599532,0.4755481786808291,139,1.5053763440860288,0.68392423970145,0.2760407619951,18274800,1,1,861,1.0904993065187218,5.248884924174835
4830,4830,34731800,0.8225151515151463,1.2108830104321957,0.4158952051843468,2.781399391568873,1.881518256333825,0.7094069896125709,138,0.042928293562538584,0.1656469661090787,0.004610378139857652,16274000,0,0,860,4.97305956021552,6.671290634639604
